,input,input_lemma,new_target
2264,на допрос мой где он ее достал отвечал он на станичном сборе что купил в таганрожской крепости конного казацкого полку у казака василья кусачкина,на допрос мой где он она достать отвечать он на станичный сбор что купить в таганрожский крепость конный казацкий полк у казак василья кусачкин,S S C S S S C S C S S C S S S S S S S S S S S F
2265,но казаки не поверя ему послали его взять письменный вид от ротного командира,но казак не поверить он послать он взять письменный вид от ротный командир,S C S S C S S S S S S S F
2266,почему и отправил я при станичном рапорте в черкасск прусака с женою и родною ее матерью по причине их побега,почему и отправить я при станичный рапорт в черкасск прусак с жена и родный она мать по причина их побег,S S S S S S S S S S S S S S S C S S S F
2267,намерен был я его как праздношатающегося выдать находящемуся тогда в сыске и высылке беглых всякого звания людей старшине михайле макарову,намеренный быть я он как праздношатающийся выдать находиться тогда в сыск и высылка беглый всякий звание человек старшина михайл макаров,S S S C S C S S S S S S S S S S C S S F
2268,за неумением грамоте василий ермолаев руку приложил,за неумение грамота василий ермолаев рука приложить,S S C S S S F
2269,смерть бибикованаконец войска отовсюду посланные противу пугачева стали приближаться к месту своего назначения,смерть бибикованаконце войско отовсюду послать противу пугачев стать приближаться к место свой назначение,S S C S S S C S S S S S F
2270,генерал-майор князь голицын с своим корпусом должен был заградить московскую дорогу действуя от казани до оренбурга,генерал-майор князь голицын с свой корпус должный быть заградить московский дорога действуя от казань до оренбург,S S S S S S S S S S C S S S S F
2271,генерал-майору мансурову вверено было правое крыло для прикрытия самарской линии куда со своими отрядами следовал майор муфель и подполковник гринев,генерал-майор мансуров вверить быть правый крыло для прикрытие самарский линия куда с свой отряд следовать майор муфель и подполковник гринев,S S S S S S S S S C S S S S S S S S S F
2272,начальникам городов через которые полк проходил велено было разослать по кабакам переодетых чиновников,начальник город через который полк проходить велено быть разослать по кабак переодеть чиновник,S C S S S C S S S S S S F
2273,дела мои богу благодарение,дело мой бог благодарение,S C S F
2274,идут час от часу лучше войски подвигаются к гнезду злодеев,идти час от час хороший войски подвигаться к гнездо злодей,S S S S C S S S S F
2275,что мною довольны то я изо всех писем вижу только спросили бы у гуся не зябут ли ноги,что я довольный то я из весь письмо видеть только спросить бы у гусь не зябить ли нога,S S C S S S S S C S S S S C S S S F
2276,майор муфель с одною полевою командою 29 декабря приближился к самаре занятой накануне шайкою бунтовщиков и встреченный ими разбил и гнал их до самого города,майор муфель с один полевой команда 29 декабрь приближиться к самара занять накануне шайкою бунтовщик и встретить они разбить и гнать они до сам город,S S S S S S S S S S C S S S C C S C S S S S S S F
2277,но драгуны ударили в палаши и въехали в город рубя и попирая бегущих,но драгун ударить в палаш и въехать в город рубя и попирать бежать,S S S S S S S S C S S S F
2278,в самое сие время в двух верстах от самары показались ставропольские калмыки 1 идущие на помощь бунтовщикам,в самый сей время в два верста от самара показаться ставропольский калмык 1 идти на помощь бунтовщик,S S S S S S S S S S S S C S S S F
2279,они побежали увидя высланную противу их конницу,они побежать увидеть выслать противу они конница,S C S S S S F
2280,последний немедленно послал отряд к ставрополю для усмирения калмыков но они разбежались и отряд не видав их возвратился в самару,последний немедленно послать отряд к ставрополь для усмирение калмык но они разбежаться и отряд не видать они возвратиться в самара,S S S S S S S S C S S C S C S S C S S F
2281,бунтовщики укрепились как умели в пяти верстах от города бибиков услышал уже их пушечную пальбу,бунтовщик укрепиться как умести в пять верста от город бибиков услышать уже они пушечную пальбу,S S S C S S S S S S S S S S F
2282,рогатки их были сломаны батареи взяты предместия заняты все бежало,рогатка они быть сломать батарея взять предместие занять весь бежать,S S S C S C S C S F
2283,к бибикову являлось в день до четырех тысяч раскаявшихся крестьян им выдавали билеты и всех распускали по домам,к бибиков являться в день до четыре тысяча раскаяться крестьянин они выдавать билет и весь распускать по дом,S S S S S S S S S C S S S S S S S F
2284,державин начальствуя тремя фузелерными ротами привел в повиновение раскольничьи селения находящиеся на берегах иргиза и орды племен кочующих между яиком и волгою 2,державин начальствуя три фузелерный рота привести в повиновение раскольничий селение находиться на берег иргиз и орда племя кочевать между яик и волга 2,C S S S C S S S S C S S S C S S C S S S S S F
2285,двое из зачинщиков выступили из толпы объявили ему свое намерение и начали к нему приступать с укорами и угрозами,двое из зачинщик выступить из толпа объявить он свой намерение и начать к он приступать с укор и угроза,S S S S S C S S S S S S S S S S S S F
2286,приказ его был тотчас исполнен и сборище разбежалось,приказ его быть тотчас исполнить и сборище разбежалось,S S S S C S S F
2287,генерал-майор ларионов начальник дворянского легиона отряженный для освобождения уфы не оправдал общей доверенности,генерал-майор ларионов начальник дворянский легион отрядить для освобождение уфа не оправдать общий доверенность,S C S S C S S S C S S S F
2288,за грехи мои навязался мне братец мой а л который сам вызвался сперва командовать особливым деташментом а теперь с места сдвинуть не могу,за грех мой навязаться я братец мой а л который сам вызваться сперва командовать особливый деташмент а теперь с место сдвинуть не мочь,S S S S S S S S C S S S S S S C S S S S S S F
2289,его неспособность заставила главнокомандующего послать на его место некогда раненного при его глазах и уже отличившегося в войне противу конфедератов офицера подполковника михельсона,его неспособность заставить главнокомандующий послать на его место некогда ранить при его глаз и уже отличиться в война противу конфедерат офицер подполковник михельсон,S S S S S S S S S S S S S S S S S S S S C S F
2290,попадутся сами нам в руки отвечал он своим сообщникам когда настойчиво звали они его навстречу приближающихся отрядов,попасться сам мы в рука отвечать он свой сообщник когда настойчиво звать они он навстречу приближаться отряд,S S S S C S S S C S S S S S S S F
2291,в случае ж поражения намеревался он бежать оставя свою сволочь на произвол судьбы,в случай ж поражение намереваться он бежать оставить свой сволочь на произвол судьба,S S S S S S C S S S S S F
2292,для того держал он на лучшем корму тридцать лошадей выбранных им на скачке,для тот держать он на хороший корма тридцать лошадь выбрать он на скачок,S S S S S S S S C S S S F
2293,ты взбунтовал нас говорили они и хочешь нас оставить а там нас будут казнить как казнили отцов наших,ты взбунтовать мы говорить они и хотеть мы оставить а там мы быть казнить как казнить отец наш,S S C S C S S S C S S S S C S S S F
2294,ночью взорвана была часть вала под батареей устроенною при старице,ночь взорвать быть часть вал под батарея устроенный при старица,S S S S S S C S S F
2295,мятежники под дымом и пылью с криком бросились к крепости заняли ров и ставя лестницы силились взойти на вал но были опрокинуты и отражены,мятежник под дым и пыль с крик броситься к крепость занять ров и ставить лестница силились взойти на вал но быть опрокинуть и отразить,S S S S S S S S S C S S C S C S S S C S S S S F
2296,все жители даже женщины и дети подкрепляли их,весь житель даже женщина и ребенок подкреплять они,S C S S S C S F
2297,пугачев стоял во рву с копьем в руке сначала стараясь лаской возбудить ревность приступающих наконец сам коля бегущих,пугачев стоять в ров с копье в рука сначала стараться ласка возбудить ревность приступать наконец сам коля бежать,S S S S S S S C S S S S S C S S S F
2298,наконец подпоручик толстовалов с пятидесятью охотниками сделал вылазку очистил ров и прогнал бунтовщиков убив до четырехсот человек и потеряв не более пятнадцати,наконец подпоручик толстовал с пятидесятью охотник сделать вылазка очистить ров и прогнать бунтовщик убив до четыреста человек и потерять не более пятнадцать,S S S S S S S C S S S S C S S S S S S S S F
2299,он поклялся повесить не только симонова и крылова но и все семейство последнего находившееся в то время в оренбурге,он поклясться повесить не только симонов и крылов но и весь семейство последний находиться в тот время в оренбург,S S S S S S S C S S S S C S S S S S F
2300,таким образом обречен был смерти и четырехлетний ребенок впоследствии славный крылов,такой образ обреченный быть смерть и четырехлетний ребенок впоследствии славный крылов,S S S S S S S C S S F
2301,отец и мать изумились и отвечали ему помилуй государь,отец и мать изумились и отвечать он помиловать государь,S S S S S S C C F
2302,дочь наша не княжна не королевна как ей быть за тобою,дочь наш не княжна не королевна как она быть за ты,S S S C S C S S S S F
2303,да и как тебе жениться когда матушка государыня еще здравствует,да и как ты жениться когда матушка государыня еще здравствовать,S S S S C S S S S F
2304,попы его не согласились сказывая что не получали на то разрешения от синода,попа он не согласиться сказывать что не получать на тот разрешение от синод,S S S C C S S S S S S S F
2305,отказ их огорчил пугачева но он не настаивал в своем требовании,отказ они огорчить пугачев но он не настаивать в свой требование,S S S C S S S S S S F
2306,жена его оставалась в яицком городке и он ездил к ней каждую неделю,жена он оставаться в яицкий городок и он ездить к она каждый неделя,S S S S S C S S S S S S F
2307,осажденные с своей стороны не теряли бодрости,осадить с свой сторона не терять бодрость,C S S C S S F
2308,их пальба не умолкала вылазки не прекращались,они пальба не умолкала вылазка не прекращаться,S S S C S S F
2309,симонов полагал что малолеток был подослан нарочно для посеяния пустого страха,симонов полагать что малолетка быть подослать нарочно для посеяние пустой страх,S C S S S S S S S S F
2310,осажденные вели контрмину и не слыхали никакой земляной работы двадцатью пудами пороху мудрено взорвать было шестиярусную высокую колокольню,осадить вести контрмина и не слыхать никакой земляной работа двадцать пуд пороху мудрено взорвать быть шестиярусную высокий колокольня,S S S S S S S S C S S S S S S C S F
2311,однако же как под нею в подвале сохранялся весь пороховой запас то и поспешили оный убрать разобрали кирпичный пол и начали вести контрмину,однако же как под она в подвал сохраняться весь пороховой запас тот и поспешить оный убрать разобрать кирпичный пол и начать вести контрмина,S C S S S S S S S S C S S S S C S S S S S S F
2312,гарнизон приготовился ожидали взрыва и приступа,гарнизон приготовился ожидать взрыв и приступ,S C S S S F
2313,не прошло и двух часов как вдруг подкоп был приведен в действо колокольня тихо зашаталась,не пройти и два час как вдруг подкоп быть привести в действо колокольня тихо зашататься,S S S S C S S S S S S C S S F
2314,нижняя палата развалилась и верхние шесть ярусов осели подавив нескольких людей находившихся близ колокольни,нижний палата развалиться и верхний шесть ярус осесть подавить несколько человек находиться близ колокольня,S S C S S S S C S S C S S F
2315,камни не быв разметаны свалились в груду,камень не быв разметать свалиться в груда,C S S C S S F
2316,еще колокольня валилась как уже из крепости загремели пушки гарнизон стоявший в ружье тотчас занял развалины колокольни и поставил там батарею,еще колокольня валиться как уже из крепость загремели пушка гарнизон стоять в ружье тотчас занять развалина колокольня и поставить там батарея,S S C S S S S S C C S S C S S S S S S S F
2317,мятежники не ожидавшие таковой встречи остановились в недоумении чрез несколько минут они подняли свой обычный визг но никто не шел вперед,мятежник не ожидать таковой встреча остановиться в недоумение чрез несколько минута они поднять свой обычный визг но никто не идти вперед,C S S S C S S C S S S S S S S C S S S S F
2318,напрасно предводители кричали на слом на слом атаманы молодцы,напрасно предводитель кричать на слом на слом атаман молодец,S S C S C S C S F
2319,они предались радости рассчитывая что помощь приспеет к ним чрез две недели,они предаться радость рассчитывать что помощь приспеть к они чрез два неделя,S S C C S S S S S S S F
2320,во время частых отлучек пугачева шигаев падуров и хлопуша управляли осадою оренбурга,в время частый отлучек пугачев шигаев падуров и хлопуша управлять осада оренбург,S S S S C C S S S S S F
2321,хлопуша пользуясь его отсутствием вздумал овладеть илецкою защитой 6 и в конце февраля взяв с собой четыреста человек напал на оную,хлопуша пользоваться его отсутствие вздумать овладеть илецкий защита 6 и в конец февраль взять с себя четыреста человек напасть на оный,C S S C S S S S S S S S C S S S S C S S F
2322,защита была взята при помощи тамошних ссыльных работников между коими находилось и семейство хлопуши,защита быть взять при помощь тамошний ссыльный работник между кой находиться и семейство хлопухо,S S S S S S S C S S S S S F
2323,казенное имущество было разграблено офицеры перебиты кроме одного пощаженного по просьбе работников колодники присоединены к шайке мятежников,казенный имущество быть разграбить офицер перебить кроме один пощадить по просьба работник колодник присоединить к шайка мятежник,S S S C S C S C S S S C S S S S F
2324,пугачев возвратясь в берду негодовал на своеволие смелого каторжника и укорял его за разорение защиты как за ущерб государственной казне,пугачев возвратиться в берда негодовать на своеволие смелый каторжник и укорять он за разорение защита как за ущерб государственный казна,C S S C S S S S S S S S S S C S S S S F
2325,пугачев выступил против князя голицына с десятью тысячами отборного войска оставя под оренбургом шигаева с двумя тысячами,пугачев выступить против князь голицын с десять тысяча отборный войско оставить под оренбург шигаев с два тысяча,S S S S S S S S S C S S S S S S F
2326,накануне велел он тайно задавить одного из верных своих сообщников дмитрия лысова,накануне велеть он тайно задавить один из верный свой сообщник дмитрий лысов,S S S S S S S S S C S F
2327,несколько дней пред тем они ехали вместе из каргале в берду будучи оба пьяны и дорогою поссорились,несколько день пред тот они ехать вместе из каргале в берда быть оба пьяный и дорога поссориться,S S S S S S S S S S C S S C S S F
2328,пугачев упал с лошади но панцирь который всегда носил он под платьем спас его жизнь,пугачев упасть с лошадь но панцирь который всегда носить он под платье спасти его жизнь,S S S C S C S S S S S C S S F
2329,их помирили товарищи и пугачев пил еще с лысовым за несколько часов до его смерти,они помирить товарищ и пугачев пить еще с лысов за несколько час до его смерть,S S C S S S S S S S S S S S F
2330,пугачев отступил к новосергиевской 8 не успев сжечь крепостей им оставленных,пугачев отступить к новосергиевский 8 не успеть сжечь крепость они оставить,S S S S C S S S C S F
2331,голицын оставя в сорочинской свои запасы под прикрытием четырехсот человек при осьми пушках через два дня пошел далее,голицын оставя в сорочинский свой запас под прикрытие четыреста человек при осьмить пушок через два день пойти далее,C S S S S S S S S S S S C S S S S F
2332,пугачев сделал движение на илецкий городок и вдруг поворотя к татищевой в ней засел и стал там укрепляться,пугачев сделать движение на илецкий городок и вдруг поворотить к татищев в она засесть и стать там укрепляться,S S S S S S C S S S C S S S S S S F
2333,крепость в прошедшем году взятая и выжженная пугачевым была уже им исправлена,крепость в пройти год взять и выжечь пугачев быть уже он исправить,C S S S S S S C S S S F
2334,распоряжения пугачева удивили князя голицына не ожидавшего от него таких сведений в военном искусстве,распоряжение пугачев удивить князь голицын не ожидать от он такой сведение в военный искусство,S S S S C S S S S S S S S F
2335,мятежники притаясь подпустили их к самой крепости и вдруг сделали сильную вылазку но были удержаны двумя эскадронами подкреплявшими первых,мятежник притаиться подпустить они к сам крепость и вдруг сделать сильный вылазка но быть удержать два эскадрон подкреплять первый,C C S S S S S S S S S C S S S S C S F
2336,полковник бибиков тот же час послал егерей которые бегая на лыжах по глубокому снегу заняли все выгодные высоты,полковник бибиков тот же час послать егерь который бегать на лыжа по глубокий снег занять весь выгодный высота,S S S S S S C C S S S S S C S S S F
2337,голицын разделил войска на две колонны стал приближаться и открыл огонь на который из крепости отвечали столь же сильно,голицын разделить войско на два колонна стать приближаться и открыть огонь на который из крепость отвечать столь же сильно,S S S S S C S S S S C S S S S S S S F
2338,голицын увидел что одними пушками одолеть было невозможно и велел генералу фрейману с левой колонною идти на приступ,голицын увидеть что один пушка одолеть быть невозможный и велеть генерал фрейман с левый колонна идти на приступ,S C S S S S S C S S S S S S S S S F
2339,мятежники защищались отчаянно но принуждены были уступить силе правильного оружия и бежали во все стороны,мятежник защищаться отчаянно но принуждены быть уступить сила правильный оружие и бежать в весь сторона,S S C S S S S S S C S S S S F
2340,конница дотоле не действовавшая преследовала их по всем дорогам,конница дотоле не действовать преследовать они по весь дорога,C S S C S S S S F
2341,на пространстве двадцати верст кругом около татищевой лежали их тела,на пространство двадцать верста кругом около татищев лежать их тело,S S S S C S C S S F
2342,голицын потерял до четырехсот убитыми и ранеными в том числе более двадцати офицеров 11,голицын потерять до четыреста убить и раненый в тот число более двадцать офицер 11,S S S S S S C S S S S S S F
2343,бунтовщики начали выбираться из берды кто верхом кто на санях,бунтовщик начать выбираться из берда кто верхом кто на саня,S S S S C S C S S F
2344,пугачев велел разбить бочки вина стоявшие у его избы опасаясь пьянства и смятения,пугачев велеть разбить бочка вино стоять у его изба опасаться пьянство и смятение,S S S S C S S S C S S S F
2345,сотник логинов сопровождавший бегство пугачева явился к рейнсдорпу с сим известием,сотник логин сопровождать бегство пугачев явиться к рейнсдорп с сим известие,S C S S C S S S S S F
2346,пугачев и хлопуша были между тем освобождены ссылочными находившимися в берде,пугачев и хлопуша быть между тот освободить ссылочный находиться в берда,S S S S S S S C S S F
2347,пугачев бежал с десятью пушками с заграбленною добычею и с двумя тысячами остальной сволочи,пугачев бежать с десять пушка с заграбить добыча и с два тысяча остальной сволочь,S S S S C S S S S S S S S F
2348,славный каторжник был привезен в оренбург где наконец отсекли ему голову в июне 1774 года,славный каторжник быть привезти в оренбург где наконец отсечь он голова в июнь 1774 год,S S S S S C S S S S S S S S F
2349,оренбургские жители услышав о своем освобождении толпами бросились из города вслед за шестьюстами человек пехоты высланных рейнсдорпом к оставленной слободе и овладели жизненными запасами,оренбургский житель услышать о свой освобождение толпа броситься из город вслед за шестьсот человек пехота выслать рейнсдорп к оставить слобода и овладеть жизненный запас,S C S S S C S S S S S S S S C S S S S C S S S F
2350,в берде найдено осьмнадцать пушек семнадцать бочек медных денег 13 и множество хлеба,в берда найти осьмнадцать пушка семнадцать бочка медный деньга 13 и множество хлеб,S S S S C S S S S S S S F
2351,рейнсдорп писал ему поздравляя его с победою и называя спасителем оренбурга 14,рейнсдорп писать он поздравлять он с победа и называть спаситель оренбург 14,S S C S S S S S S S S F
2352,настало изобилие и бедственная шестимесячная осада была забыта в одно радостное мгновение,настать изобилие и бедственный шестимесячный осада быть забыть в один радостный мгновение,S C S S S S S S S S S F
2353,26 марта голицын приехал в оренбург жители приняли его с восторгом неописанным,26 март голицын приехать в оренбург житель принять он с восторг неописанный,S S S S S C S S S S S F
2354,между тем пугачев миновав разосланные разъезды прибыл утром 24-го в сеитовскую 15 слободу зажег ее и пошел к сакмарскому городку забирая дорогою новую сволочь,между тот пугачев миновать разослать разъезд прибыть утро 24-го в сеитовский 15 слобода зажечь она и пойти к сакмарский городок забирая дорогой новый сволочь,S S C S S C S S S S S S C S S S S S S C S S S F
2355,пугачев увидя свою ошибку стал отступать искусно пользуясь местоположением,пугачев увидеть свой ошибка стать отступать искусно пользоваться местоположение,C S S C S C S S F
2356,но тут к бибикову подоспели пушки он заняв гору выстроил батарею,но тут к бибиков подоспеть пушка он занять гора выстроить батарея,S S S S S C C S C S F
2357,пугачев потерял последние пушки четыреста человек убитыми и три тысячи пятьсот взятыми в плен,пугачев потерять последний пушка четыреста человек убить и три тысяча пятьсот взять в плен,S S S C S S S S S S S S S F
2358,в числе последних находились и главные его сообщники шигаев почиталин падуров и другие,в число последний находиться и главный он сообщник шигаев почиталин падуров и другой,S S S S S S S C C C S S F
2359,михельсон с своей стороны действовал не менее удачно,михельсон с свой сторона действовать не менее удачно,C S S C S S S F
2360,приняв 18 марта начальство над своим отрядом он тотчас двинулся к уфе,принять 18 март начальство над свой отряд он тотчас двинуться к уфа,S S S S S S C S S S S F
2361,противу него для преграждения пути выслано было чикою две тысячи человек с четырьмя пушками которые и ожидали его в деревне жукове,противу он для преграждение путь выслать быть чикой два тысяча человек с четыре пушка который и ожидать он в деревня жуков,S C S S C S S S S S S S S C S S S S S S F
2362,майор харин разбил их и рассеял егеря отняли пушки и михельсон двинулся вперед,майор харин разбить они и рассеять егерь отнять пушка и михельсон двинуться вперед,S S S S S C S S C S S S F
2363,они прикрывали и тыл михельсона в случае нападения,они прикрывать и тыл михельсон в случай нападение,S S S S C S S F
2364,часть их выбежала на лыжах и верхами и растянувшись по обеим сторонам дороги старалась окружить его,часть они выбежать на лыжа и верх и растянуться по оба сторона дорога стараться окружить он,S S S S S S S C S S S S C S S F
2365,три тысячи подкрепленные десятью пушками пошли прямо ему навстречу,три тысяча подкрепить десять пушка пойти прямо он навстречу,S C S S C S S S F
2366,между тем открыли огонь из батареи поставленной в деревне,между тот открыть огонь из батарея поставить в деревня,S S S S S C S S F
2367,передовые толпы бежали брося пушки,передовой толпа бежать брося пушка,S S C S F
2368,харин рубя их вместе с ними вступил в чесноковку,харин рубить они вместе с они вступить в чесноковка,C S C S S S S S F
2369,между тем конница шедшая к ним на помощь в зубовку была отражена и бежала к чесноковке же где харин встретил ее и всю захватил,между тот конница идти к они на помощь в зубовка быть отразить и бежать к чесноковка же где харин встретить она и весь захватить,S S C S S S S S S C S S S S S S C S S S S S S F
2370,лыжники успевшие зайти в тыл михельсону и отрезать от него обоз в то же время были разбиты двумя ротами гренадер,лыжник успеть зайти в тыл михельсон и отрезать от он обоз в тот же время быть разбить два рота гренадер,C S S S S S S S S S C S S S S S S S S F
2371,михельсон повесил двух главных бунтовщиков башкирского старшину и выборного села чесноковки,михельсон повесить два главный бунтовщик башкирский старшина и выборный село чесноковка,S S S S C S S S S S F
2372,михельсон нигде не останавливаясь пошел на табинск куда после чесноковского дела прискакали ульянов и чика,михельсон нигде не останавливаться пойти на табинск куда после чесноковский дело прискакать ульянов и чик,C S S C S S C S S S S S S S F
2373,там они были схвачены 16 казаками и выданы победителю который отослал их скованных в уфу,там они быть схватить 16 казак и выдать победитель который отослать они сковать в уфа,S S S S S S S S C S S S S S F
2374,илецкий городок и крепости озерная и рассыпная свидетели первых успехов пугачева были уже оставлены мятежниками,илецкий городок и крепость озерный и рассыпной свидетель первый успех пугачев быть уже оставить мятежник,S S S S S S C S S S C S S S F
2375,начальники их чулошников и кизилбашин бежали в яицкий городок,начальник они чулошник и кизилбашин бежать в яицкий городок,S C S S C S S S F
2376,беглецы преследуемые гусарами хорвата проскакали через крепости крича спасайтесь детушки все пропало,беглец преследовать гусар хорват проскакали через крепость крича спасайтесь детушки все пропасть,C S S C S S S C C C S F
2377,вскоре настала весенняя оттепель реки вскрылись и тела убитых под татищевой поплыли мимо крепостей,вскоре настать весенний оттепель река вскрыться и тело убитый под татищева поплыть мимо крепость,S S S C S C S S S S S S S F
2378,жены и матери стояли у берега стараясь узнать между ними своих мужьев и сыновей,жена и мать стоять у берег стараться узнать между они свой мужей и сын,S S S S S C S S S S S S S F
2379,мансуров 6 и 7 апреля занял оставленные крепости и илецкий городок нашед в последнем четырнадцать пушек,мансуров 6 и 7 апрель занять оставить крепость и илецкий городок нашед в последний четырнадцать пушка,S S S S S S S S S S C S S S S F
2380,15-го при опасной переправе чрез разлившуюся речку быковку на него напали овчинников перфильев и дегтерев,15-го при опасный переправа чрез разлиться речка быковка на он напасть овчинников перфильев и дегтерев,C S S S S S S C S S S C S S F
2381,бедряга и бородин их преследовали но распутица спасла предводителей,бедряга и бородин они преследовать но распутица спасти предводитель,S S S S C S S S F
2382,в кузницах приготовлялись ломы и лопаты возвышались новые батареи,в кузница приготовляться лом и лопата возвышались новый батарея,S S S S S C S S F
2383,мятежники деятельно продолжали свои земляные работы то обрывая берег чечоры и тем уничтожая сообщение одной части города с другой то копая траншеи дабы препятствовать вылазкам,мятежник деятельно продолжать свой земляной работа то обрывать берег чечор и тот уничтожать сообщение один часть город с другой то копать траншея дабы препятствовать вылазка,S S S S S C S S S S S S S S S S S S C S S C S S F
